std_name,density_g_cm3,,,
(3-Chloropropyl)(ethoxy)dimethylsilane,0.932,,,
9-Anthracenemethanol,1.214,,,
Aluminium,2.7,,,
Aluminium oxide,3.95,,,
Aminopropyldimethylethoxysilane,0.857,,,
Barium strontium titanate,4.91,,,
Barium titanate,6.02,,,
Bentonite,2.5,,,
Buckminsterfullerene,1.65,,,
Calcium carbonate,2.71,,,
Calcium copper titanate,4.7,,,
Carbon black,1.7,,,
Carbon nanofibers,2.1,,,
Cellulose,2.6,,,
Clay,1.33,,,
Copper(II) phenyl phosphate,1.807,,,
Dodecylbenzenesulfonic acid,1,,,
Fluorine mica,2.9,,,
Gold,19.32,,,
Graphene,2.267,,,
Graphene oxide,1.91,,,
Graphite,2.266,,,
Graphite oxide,1.8,,,
Iron oxide - barium titanate core-shell nanoparticles,5.63,,,
"Iron(II,III) oxide",5.17,,,
Lead(II) sulfide,7.6,,,
Magnesium oxide,3.58,,,
Methoxy(dimethyl)octylsilane,0.813,,,
Mineral oil,0.848,,,
Molybdenum Disulfide,5.06,,,
Molybdenum disulfide,5.06,,,
Montmorillonite,2.35,,,
Multi-wall carbon nanotubes,2.6,,,
Octa(aminophenyl) polyhedral oligomeric silsesquioxane,1.1,,,
Octakis(dimethylsiloxyhexafluoropropylglycidyl ether)silsesquioxane,1.09,,,
Organo-modified layered silicates,1.98,,,
Poly(acrylonitrile),1.184,,,
Poly(vinyl alcohol),1.21,,,
Polyaniline,1.245,,,
Reactive fluorine polyhedral oligomeric silsesquioxane,1.1,,,
Reduced graphene oxide,1.91,,,
Sepiolite,2.14,,,
Silicon carbide,3.21,,,
Silicon dioxide,2.65,,,
Silver,10.5,,,
Silver hexafluoroantimonate,4.75,,,
Silver nitrate,4.35,,,
Single-wall carbon nanotubes,1.8,,,
Sodium titanate nanotubes,1.1,,,
Talcum,2.75,,,
Titanium dioxide,4.23,,,
Triphenyl phosphate,1.18,,,
Zinc oxide,5.61,,,
Zirconium dioxide,5.68,,,
