nm_entry,std_name,density_g_cm3,,
Aluminium dioxide,Aluminium oxide,3.95,,
high abrasion furnace black,Carbon black,1.7,,
titanium dioxide,Titanium dioxide,4.23,,
Graphite Nanoplatelets,Graphite,2.266,,
HiPCO single-wall carbon nanotubes,Single-wall carbon nanotubes,1.8,,
carbon nanofibers,Carbon nanofibers,2.1,,
montmorillonite,Montmorillonite,2.35,,
sodium montmorillonite,Montmorillonite,2.35,,
silicon dioxide,Silicon dioxide,2.65,,
graphite nanoplates,Graphite,2.266,,
Synthetic fluorine mica,Fluorine mica,2.9,,
Sepiolite,Sepiolite,2.14,,
cellulose nanowhiskers,Cellulose,2.6,,
silica nanoparticles,Silicon dioxide,2.65,,
polyaniline,Polyaniline,1.245,,
graphite oxide,Graphite oxide,1.8,,
cellulose nanocrystal,Cellulose,2.6,,
Al2O3,Aluminium oxide,3.95,,
octyldimethylmethoxysilane,Methoxy(dimethyl)octylsilane,0.813,,
multi-walled carbon nanotubes,Multi-wall carbon nanotubes,2.6,,
Iron Oxide - Barium Titanate core-shell nanoparticles,Iron oxide - barium titanate core-shell nanoparticles,5.63,,
Carbon Black,Carbon black,1.7,,
anatase type nanosized titanium dioxide,Titanium dioxide,4.23,,
multi-wall carbon nanotubes,Multi-wall carbon nanotubes,2.6,,
single-walled carbon nanotubes,Single-wall carbon nanotubes,1.8,,
Titanium dioxide,Titanium dioxide,4.23,,
graphene platelet,Graphene,2.267,,
Alumina,Aluminium oxide,3.95,,
graphene oxide,Graphene oxide,1.91,,
chloropropyldimethylethoxysilane,(3-Chloropropyl)(ethoxy)dimethylsilane,0.932,,
aluminum,Aluminium,2.7,,
Calcium Carbonate,Calcium carbonate,2.71,,
expanded graphite,Graphite,2.266,,
carbon nanotube,Single-wall carbon nanotubes,1.8,,
clay,Clay,1.33,,
Organophilic clay,Montmorillonite,1.33,,
SiC powder,Silicon carbide,3.21,,
Silver,Silver,10.5,,
graphite nanoplatelets,Graphite,2.266,,
Functionalized graphene sheets,Graphene,2.267,,
graphene platelets,Graphene,2.267,,
calcium carbonate,Calcium carbonate,2.71,,
Silver nitrate,Silver nitrate,4.35,,
